system,method,rep,tag,tau_ps,commit_ns,occupancy,committed
CLN025,MOAS,1,moas_s1_static,80.0,34.086,0.06792004963180752,True
CLN025,MOAS,2,moas_s2_static,20.0,36.062,0.05249103120869636,True
CLN025,MOAS,2,moas_s2_static,40.0,36.062,0.05249103120869636,True
CLN025,MOAS,2,moas_s2_static,60.0,40.222,0.05249103120869636,True
CLN025,MOAS,2,moas_s2_static,80.0,47.738,0.05249103120869636,True
CLN025,TAPS,0,discover_taps,20.0,69.796,0.0023736951420171015,True
CLN025,TAPS,0,discover_taps,40.0,,0.0023736951420171015,False
CLN025,TAPS,0,discover_taps,60.0,,0.0023736951420171015,False
CLN025,TAPS,0,discover_taps,80.0,,0.0023736951420171015,False
CLN025,TAPS,1,discover_s1_taps,20.0,36.162,0.006743452108003129,True
CLN025,TAPS,1,discover_s1_taps,40.0,80.18,0.006743452108003129,True
CLN025,TAPS,1,discover_s1_taps,60.0,80.366,0.006743452108003129,True
CLN025,TAPS,1,discover_s1_taps,80.0,80.466,0.006743452108003129,True
CLN025,TAPS,2,discover_s2_taps,20.0,75.296,0.0008901356782564131,True
CLN025,TAPS,2,discover_s2_taps,40.0,,0.0008901356782564131,False
CLN025,TAPS,2,discover_s2_taps,60.0,,0.0008901356782564131,False
CLN025,TAPS,2,discover_s2_taps,80.0,,0.0008901356782564131,False
AdK,Random,0,adk_random,100.0,194.978,0.0014007883506531582,True
AdK,Random,0,adk_random,200.0,,0.0014007883506531582,False
AdK,Random,0,adk_random,300.0,,0.0014007883506531582,False
AdK,Random,0,adk_random,500.0,,0.0014007883506531582,False
AdK,Random,1,adk_s1_random,100.0,,0.0,False
AdK,Random,1,adk_s1_random,200.0,,0.0,False
AdK,Random,1,adk_s1_random,300.0,,0.0,False
AdK,Random,1,adk_s1_random,500.0,,0.0,False
AdK,Random,2,adk_s2_random,100.0,,0.0,False
AdK,Random,2,adk_s2_random,200.0,,0.0,False
AdK,Random,2,adk_s2_random,300.0,,0.0,False
AdK,Random,2,adk_s2_random,500.0,,0.0,False
AdK,LAST,0,adk_last,100.0,,0.0,False
AdK,LAST,0,adk_last,200.0,,0.0,False
AdK,LAST,0,adk_last,300.0,,0.0,False
AdK,LAST,0,adk_last,500.0,,0.0,False
AdK,LAST,1,adk_s1_last,100.0,,0.0,False
AdK,LAST,1,adk_s1_last,200.0,,0.0,False
AdK,LAST,1,adk_s1_last,300.0,,0.0,False
AdK,LAST,1,adk_s1_last,500.0,,0.0,False
AdK,LAST,2,adk_s2_last,100.0,,0.0003366235571337047,False
AdK,LAST,2,adk_s2_last,200.0,,0.0003366235571337047,False
AdK,LAST,2,adk_s2_last,300.0,,0.0003366235571337047,False
AdK,LAST,2,adk_s2_last,500.0,,0.0003366235571337047,False
AdK,Least-counts,0,adk_lc,100.0,192.352,0.004843035692955881,True
AdK,Least-counts,0,adk_lc,200.0,192.518,0.004843035692955881,True
AdK,Least-counts,0,adk_lc,300.0,192.518,0.004843035692955881,True
AdK,Least-counts,0,adk_lc,500.0,,0.004843035692955881,False
AdK,Least-counts,1,adk_s1_lc,100.0,190.272,0.01531094243737173,True
AdK,Least-counts,1,adk_s1_lc,200.0,190.352,0.01531094243737173,True
AdK,Least-counts,1,adk_s1_lc,300.0,190.768,0.01531094243737173,True
AdK,Least-counts,1,adk_s1_lc,500.0,190.768,0.01531094243737173,True
AdK,Least-counts,2,adk_s2_lc,100.0,,0.0002714706105916973,False
AdK,Least-counts,2,adk_s2_lc,200.0,,0.0002714706105916973,False
AdK,Least-counts,2,adk_s2_lc,300.0,,0.0002714706105916973,False
AdK,Least-counts,2,adk_s2_lc,500.0,,0.0002714706105916973,False
AdK,kNN-AS,0,adk_knn,100.0,,0.0,False
AdK,kNN-AS,0,adk_knn,200.0,,0.0,False
AdK,kNN-AS,0,adk_knn,300.0,,0.0,False
AdK,kNN-AS,0,adk_knn,500.0,,0.0,False
AdK,kNN-AS,1,adk_s1_knn,100.0,66.318,0.07311246484455593,True
AdK,kNN-AS,1,adk_s1_knn,200.0,96.086,0.07311246484455593,True
AdK,kNN-AS,1,adk_s1_knn,300.0,136.418,0.07311246484455593,True
AdK,kNN-AS,1,adk_s1_knn,500.0,136.652,0.07311246484455593,True
AdK,kNN-AS,2,adk_s2_knn,100.0,,0.0,False
AdK,kNN-AS,2,adk_s2_knn,200.0,,0.0,False
AdK,kNN-AS,2,adk_s2_knn,300.0,,0.0,False
AdK,kNN-AS,2,adk_s2_knn,500.0,,0.0,False
AdK,MOAS,0,adk_static,100.0,102.718,0.14846184752038744,True
AdK,MOAS,0,adk_static,200.0,103.444,0.14846184752038744,True
AdK,MOAS,0,adk_static,300.0,106.096,0.14846184752038744,True
AdK,MOAS,0,adk_static,500.0,127.458,0.14846184752038744,True
AdK,MOAS,1,adk_s1_static,100.0,171.002,0.007188541768468146,True
AdK,MOAS,1,adk_s1_static,200.0,192.272,0.007188541768468146,True
AdK,MOAS,1,adk_s1_static,300.0,192.272,0.007188541768468146,True
AdK,MOAS,1,adk_s1_static,500.0,,0.007188541768468146,False
AdK,MOAS,2,adk_s2_static,100.0,104.644,0.2782899523297608,True
AdK,MOAS,2,adk_s2_static,200.0,105.67,0.2782899523297608,True
AdK,MOAS,2,adk_s2_static,300.0,105.8,0.2782899523297608,True
AdK,MOAS,2,adk_s2_static,500.0,116.106,0.2782899523297608,True
MBP,Random,0,mbp_random,100.0,,0.0,False
MBP,Random,0,mbp_random,200.0,,0.0,False
MBP,Random,0,mbp_random,300.0,,0.0,False
MBP,Random,0,mbp_random,500.0,,0.0,False
MBP,Random,1,mbp_s1_random,100.0,,0.0,False
MBP,Random,1,mbp_s1_random,200.0,,0.0,False
MBP,Random,1,mbp_s1_random,300.0,,0.0,False
MBP,Random,1,mbp_s1_random,500.0,,0.0,False
MBP,Random,2,mbp_s2_random,100.0,653.39,9.504684596141906e-05,True
MBP,Random,2,mbp_s2_random,200.0,,9.504684596141906e-05,False
MBP,Random,2,mbp_s2_random,300.0,,9.504684596141906e-05,False
MBP,Random,2,mbp_s2_random,500.0,,9.504684596141906e-05,False
MBP,LAST,0,mbp_last,100.0,309.566,0.26011288329662907,True
MBP,LAST,0,mbp_last,200.0,320.416,0.26011288329662907,True
MBP,LAST,0,mbp_last,300.0,356.42,0.26011288329662907,True
MBP,LAST,0,mbp_last,500.0,479.378,0.26011288329662907,True
MBP,LAST,1,mbp_s1_last,100.0,,0.0,False
MBP,LAST,1,mbp_s1_last,200.0,,0.0,False
MBP,LAST,1,mbp_s1_last,300.0,,0.0,False
MBP,LAST,1,mbp_s1_last,500.0,,0.0,False
MBP,LAST,2,mbp_s2_last,100.0,884.874,0.00018604914528618202,True
MBP,LAST,2,mbp_s2_last,200.0,,0.00018604914528618202,False
MBP,LAST,2,mbp_s2_last,300.0,,0.00018604914528618202,False
MBP,LAST,2,mbp_s2_last,500.0,,0.00018604914528618202,False
MBP,Least-counts,0,mbp_lc,100.0,,0.0003377196441607869,False
MBP,Least-counts,0,mbp_lc,200.0,,0.0003377196441607869,False
MBP,Least-counts,0,mbp_lc,300.0,,0.0003377196441607869,False
MBP,Least-counts,0,mbp_lc,500.0,,0.0003377196441607869,False
MBP,Least-counts,1,mbp_s1_lc,100.0,414.008,0.005963684015749465,True
MBP,Least-counts,1,mbp_s1_lc,200.0,414.008,0.005963684015749465,True
MBP,Least-counts,1,mbp_s1_lc,300.0,657.764,0.005963684015749465,True
MBP,Least-counts,1,mbp_s1_lc,500.0,657.764,0.005963684015749465,True
MBP,Least-counts,2,mbp_s2_lc,100.0,,0.00010920275918971553,False
MBP,Least-counts,2,mbp_s2_lc,200.0,,0.00010920275918971553,False
MBP,Least-counts,2,mbp_s2_lc,300.0,,0.00010920275918971553,False
MBP,Least-counts,2,mbp_s2_lc,500.0,,0.00010920275918971553,False
MBP,kNN-AS,0,mbp_knn,100.0,796.528,0.001423680416102958,True
MBP,kNN-AS,0,mbp_knn,200.0,836.83,0.001423680416102958,True
MBP,kNN-AS,0,mbp_knn,300.0,896.91,0.001423680416102958,True
MBP,kNN-AS,0,mbp_knn,500.0,,0.001423680416102958,False
MBP,kNN-AS,1,mbp_s1_knn,100.0,544.314,0.007603747676913525,True
MBP,kNN-AS,1,mbp_s1_knn,200.0,572.596,0.007603747676913525,True
MBP,kNN-AS,1,mbp_s1_knn,300.0,572.596,0.007603747676913525,True
MBP,kNN-AS,1,mbp_s1_knn,500.0,699.862,0.007603747676913525,True
MBP,kNN-AS,2,mbp_s2_knn,100.0,,2.2245006501608718e-05,False
MBP,kNN-AS,2,mbp_s2_knn,200.0,,2.2245006501608718e-05,False
MBP,kNN-AS,2,mbp_s2_knn,300.0,,2.2245006501608718e-05,False
MBP,kNN-AS,2,mbp_s2_knn,500.0,,2.2245006501608718e-05,False
MBP,MOAS,0,mbp_static,100.0,434.078,0.28404851029236006,True
MBP,MOAS,0,mbp_static,200.0,442.832,0.28404851029236006,True
MBP,MOAS,0,mbp_static,300.0,442.832,0.28404851029236006,True
MBP,MOAS,0,mbp_static,500.0,442.896,0.28404851029236006,True
MBP,MOAS,1,mbp_s1_static,100.0,502.778,0.3714531853838174,True
MBP,MOAS,1,mbp_s1_static,200.0,503.544,0.3714531853838174,True
MBP,MOAS,1,mbp_s1_static,300.0,503.544,0.3714531853838174,True
MBP,MOAS,1,mbp_s1_static,500.0,507.894,0.3714531853838174,True
MBP,MOAS,2,mbp_s2_static,100.0,212.724,0.42117684173486786,True
MBP,MOAS,2,mbp_s2_static,200.0,216.76,0.42117684173486786,True
MBP,MOAS,2,mbp_s2_static,300.0,224.214,0.42117684173486786,True
MBP,MOAS,2,mbp_s2_static,500.0,296.286,0.42117684173486786,True
