system,method,rep,tag,x,occupancy,xlabel
CLN025,MOAS,1,moas_s1_static,0.25,0.06792004963180752,RMSD cutoff (nm)
CLN025,MOAS,1,moas_s1_static,0.3,0.1409381490572654,RMSD cutoff (nm)
CLN025,MOAS,1,moas_s1_static,0.4,0.33288376985946644,RMSD cutoff (nm)
CLN025,MOAS,2,moas_s2_static,0.15,0.0,RMSD cutoff (nm)
CLN025,MOAS,2,moas_s2_static,0.2,0.002940145119089364,RMSD cutoff (nm)
CLN025,MOAS,2,moas_s2_static,0.25,0.05249103120869636,RMSD cutoff (nm)
CLN025,MOAS,2,moas_s2_static,0.3,0.12351306881018531,RMSD cutoff (nm)
CLN025,MOAS,2,moas_s2_static,0.4,0.3191810751760041,RMSD cutoff (nm)
CLN025,TAPS,0,discover_taps,0.15,0.0,RMSD cutoff (nm)
CLN025,TAPS,0,discover_taps,0.2,0.0,RMSD cutoff (nm)
CLN025,TAPS,0,discover_taps,0.25,0.0023736951420171015,RMSD cutoff (nm)
CLN025,TAPS,0,discover_taps,0.3,0.0353356890459364,RMSD cutoff (nm)
CLN025,TAPS,0,discover_taps,0.4,0.15555795322741617,RMSD cutoff (nm)
CLN025,TAPS,1,discover_s1_taps,0.15,0.0,RMSD cutoff (nm)
CLN025,TAPS,1,discover_s1_taps,0.2,2.6973808432012517e-05,RMSD cutoff (nm)
CLN025,TAPS,1,discover_s1_taps,0.25,0.006743452108003129,RMSD cutoff (nm)
CLN025,TAPS,1,discover_s1_taps,0.3,0.03034553448601408,RMSD cutoff (nm)
CLN025,TAPS,1,discover_s1_taps,0.4,0.10719391470881774,RMSD cutoff (nm)
CLN025,TAPS,2,discover_s2_taps,0.15,0.0,RMSD cutoff (nm)
CLN025,TAPS,2,discover_s2_taps,0.2,0.0,RMSD cutoff (nm)
CLN025,TAPS,2,discover_s2_taps,0.25,0.0008901356782564131,RMSD cutoff (nm)
CLN025,TAPS,2,discover_s2_taps,0.3,0.010034256736708656,RMSD cutoff (nm)
CLN025,TAPS,2,discover_s2_taps,0.4,0.06349634504895746,RMSD cutoff (nm)
AdK,Random,0,adk_random,-8.0,0.0,window margin (deg)
AdK,Random,0,adk_random,-4.0,0.0,window margin (deg)
AdK,Random,0,adk_random,0.0,0.0014007883506531582,window margin (deg)
AdK,Random,0,adk_random,4.0,0.01649455429955153,window margin (deg)
AdK,Random,0,adk_random,8.0,0.05446786330911815,window margin (deg)
AdK,Random,1,adk_s1_random,-8.0,0.0,window margin (deg)
AdK,Random,1,adk_s1_random,-4.0,0.0,window margin (deg)
AdK,Random,1,adk_s1_random,0.0,0.0,window margin (deg)
AdK,Random,1,adk_s1_random,4.0,0.023281319564343966,window margin (deg)
AdK,Random,1,adk_s1_random,8.0,0.08118057139134117,window margin (deg)
AdK,Random,2,adk_s2_random,-8.0,0.0,window margin (deg)
AdK,Random,2,adk_s2_random,-4.0,0.0,window margin (deg)
AdK,Random,2,adk_s2_random,0.0,0.0,window margin (deg)
AdK,Random,2,adk_s2_random,4.0,0.0008035530073514241,window margin (deg)
AdK,Random,2,adk_s2_random,8.0,0.004571565082364183,window margin (deg)
AdK,LAST,0,adk_last,-8.0,0.0,window margin (deg)
AdK,LAST,0,adk_last,-4.0,0.0,window margin (deg)
AdK,LAST,0,adk_last,0.0,0.0,window margin (deg)
AdK,LAST,0,adk_last,4.0,0.007590318272143857,window margin (deg)
AdK,LAST,0,adk_last,8.0,0.04801772160145942,window margin (deg)
AdK,LAST,1,adk_s1_last,-8.0,0.0,window margin (deg)
AdK,LAST,1,adk_s1_last,-4.0,0.0,window margin (deg)
AdK,LAST,1,adk_s1_last,0.0,0.0,window margin (deg)
AdK,LAST,1,adk_s1_last,4.0,0.002736423754764309,window margin (deg)
AdK,LAST,1,adk_s1_last,8.0,0.04424970952644667,window margin (deg)
AdK,LAST,2,adk_s2_last,-8.0,0.0,window margin (deg)
AdK,LAST,2,adk_s2_last,-4.0,0.0,window margin (deg)
AdK,LAST,2,adk_s2_last,0.0,0.0003366235571337047,window margin (deg)
AdK,LAST,2,adk_s2_last,4.0,0.056943675277714434,window margin (deg)
AdK,LAST,2,adk_s2_last,8.0,0.24244497290723308,window margin (deg)
AdK,Least-counts,0,adk_lc,-8.0,0.0,window margin (deg)
AdK,Least-counts,0,adk_lc,-4.0,0.0,window margin (deg)
AdK,Least-counts,0,adk_lc,0.0,0.004843035692955881,window margin (deg)
AdK,Least-counts,0,adk_lc,4.0,0.015658424818929102,window margin (deg)
AdK,Least-counts,0,adk_lc,8.0,0.0395369797265748,window margin (deg)
AdK,Least-counts,1,adk_s1_lc,-8.0,0.0,window margin (deg)
AdK,Least-counts,1,adk_s1_lc,-4.0,0.0,window margin (deg)
AdK,Least-counts,1,adk_s1_lc,0.0,0.01531094243737173,window margin (deg)
AdK,Least-counts,1,adk_s1_lc,4.0,0.08261393621526533,window margin (deg)
AdK,Least-counts,1,adk_s1_lc,8.0,0.1296109283209,window margin (deg)
AdK,Least-counts,2,adk_s2_lc,-8.0,0.0,window margin (deg)
AdK,Least-counts,2,adk_s2_lc,-4.0,0.0,window margin (deg)
AdK,Least-counts,2,adk_s2_lc,0.0,0.0002714706105916973,window margin (deg)
AdK,Least-counts,2,adk_s2_lc,4.0,0.009675212561488093,window margin (deg)
AdK,Least-counts,2,adk_s2_lc,8.0,0.027244790478982744,window margin (deg)
AdK,kNN-AS,0,adk_knn,-8.0,0.0,window margin (deg)
AdK,kNN-AS,0,adk_knn,-4.0,0.0,window margin (deg)
AdK,kNN-AS,0,adk_knn,0.0,0.0,window margin (deg)
AdK,kNN-AS,0,adk_knn,4.0,0.003223613743099613,window margin (deg)
AdK,kNN-AS,0,adk_knn,8.0,0.033307242316882264,window margin (deg)
AdK,kNN-AS,1,adk_s1_knn,-8.0,0.0,window margin (deg)
AdK,kNN-AS,1,adk_s1_knn,-4.0,0.0006298118165727378,window margin (deg)
AdK,kNN-AS,1,adk_s1_knn,0.0,0.07311246484455593,window margin (deg)
AdK,kNN-AS,1,adk_s1_knn,4.0,0.18313407390515904,window margin (deg)
AdK,kNN-AS,1,adk_s1_knn,8.0,0.25816855067270417,window margin (deg)
AdK,kNN-AS,2,adk_s2_knn,-8.0,0.0,window margin (deg)
AdK,kNN-AS,2,adk_s2_knn,-4.0,0.0,window margin (deg)
AdK,kNN-AS,2,adk_s2_knn,0.0,0.0,window margin (deg)
AdK,kNN-AS,2,adk_s2_knn,4.0,0.0071776829440444775,window margin (deg)
AdK,kNN-AS,2,adk_s2_knn,8.0,0.04560706257940515,window margin (deg)
AdK,MOAS,0,adk_static,-8.0,0.0,window margin (deg)
AdK,MOAS,0,adk_static,-4.0,5.429412211833947e-05,window margin (deg)
AdK,MOAS,0,adk_static,0.0,0.14846184752038744,window margin (deg)
AdK,MOAS,0,adk_static,4.0,0.47977543951091856,window margin (deg)
AdK,MOAS,0,adk_static,8.0,0.6509539477256192,window margin (deg)
AdK,MOAS,1,adk_s1_static,-8.0,0.0,window margin (deg)
AdK,MOAS,1,adk_s1_static,-4.0,0.0,window margin (deg)
